name,brand,category,basePrice,mrp,stockQty,description,imageUrlList
Casotec Plexible LED Light 275014 Led Light USB Led Light,Casotec,Laptop Accessories,149.00,499.00,28,"Casotec Plexible LED Light 275014 Led Light USB Led Light (Green)                          Price: Rs. 149 				 			Casotec USB LED Light is perfect for reading, working, travelling and much more Ideal for night reading, emergency lighting and so on Small and portable, convenient to carry. The LED emits white light which is suitable for eyes. Light up your notebook any where you wish. Directly plug the USB LED light into the USB port on your notebook, PC or power bank. Gently adjust the flexible neck light to position as you wish. Specification: Rated voltage: DC 5V Power: 1.2W Size: 170mm x 16mm x 9mm Specifics LED Type : LED USB light Width : 5.3 cm Height : 1.6 cm Length : 24.8 cm Weight : 86gm Casotec USB LED Light is perfect for reading, working, travelling and much more Ideal for night reading, emergency lighting and so on Small and portable, convenient to carry. The LED emits white light which is suitable for eyes. Light up your notebook any where you wish. Directly plug the USB LED light into the USB port on your notebook, PC or power bank. Gently adjust the flexible neck light to position as you wish. Specification: Rated voltage: DC 5V Power: 1.2W Size: 170mm x 16mm x 9mm Specifics LED Type : LED USB light Width : 5.3 cm Height : 1.6 cm Length : 24.8 cm Weight : 86gm",http://img5a.flixcart.com/image/usb-gadget/h/z/n/275014-led-light-casotec-1100x1100-imaeb4r6x8pggqzf.jpeg|http://img6a.flixcart.com/image/usb-gadget/h/z/n/275014-led-light-casotec-original-imaeb4r6x8pggqzf.jpeg|http://img6a.flixcart.com/image/usb-gadget/h/z/n/275014-led-light-casotec-original-imaeb4r6ezyxmtvz.jpeg|http://img6a.flixcart.com/image/usb-gadget/h/z/n/275014-led-light-casotec-original-imaeb4r6pzs9vnf8.jpeg|http://img5a.flixcart.com/image/usb-gadget/h/z/n/275014-led-light-casotec-original-imaeb4r64xtagwzf.jpeg|http://img5a.flixcart.com/image/usb-gadget/h/z/n/275014-led-light-casotec-original-imaeb4r62pyjkfbm.jpeg
RAA Boy's Brief,RAA,Kids' Clothing,299.00,399.00,34,"Specifications of RAA Boy's Brief (Pack of 3) Brief Details Number of Contents in Sales Package Pack of 3 Fabric 100% COTTON ( MELANGE BLENDED) Type Brief General Details Ideal For Boy's Fabric Care Gentle or Delicate Machine Wash at 40°C, Do Not Bleach, Tumble Dry Low, Do Not Dry Clean. Additional Details Style Code RAA-3C-SK-027_OE-09 In the Box 3 Brief",http://img5a.flixcart.com/image/brief/z/w/g/raa-3c-sk-027-oe-09-raa-4-5-years-original-imaehwfrpfdsr7zj.jpeg|http://img6a.flixcart.com/image/brief/z/w/g/raa-3c-sk-027-oe-09-raa-4-5-years-original-imaehwfrpfdsr7zj.jpeg|http://img5a.flixcart.com/image/brief/z/w/g/raa-3c-sk-027-oe-09-raa-3-4-years-original-imaehwfrcvcu4skh.jpeg|http://img6a.flixcart.com/image/brief/z/w/g/raa-3c-sk-027-oe-09-raa-9-12-months-original-imaehwfru2pu3hw8.jpeg|http://img5a.flixcart.com/image/brief/z/w/g/raa-3c-sk-027-oe-09-raa-4-5-years-original-imaehwfr5jgkmcgu.jpeg
Aapno Rajasthan Princess Design Showpiece  -  22 cm,Aapno Rajasthan,Showpieces,999.00,2700.00,56,Buy Aapno Rajasthan Princess Design Showpiece  -  22 cm for Rs.999 online. Aapno Rajasthan Princess Design Showpiece  -  22 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,http://img6a.flixcart.com/image/showpiece-figurine/d/6/z/mar15367-aapno-rajasthan-original-imae6xz4ezxxbduh.jpeg|http://img6a.flixcart.com/image/showpiece-figurine/d/6/z/mar15367-aapno-rajasthan-original-imaee4p7eekyphqk.jpeg
Prithish Believe In Yourself Double Color Ceramic Mug,SwiftBrand,Coffee Mugs,225.00,599.00,32,"Prithish Believe In Yourself Double Color Ceramic Mug (330 ml)                          Price: Rs. 225 				 			""""Get Talking With Your Coffee! Our Wide Selection Of Cute And Catchy Designs Means You'Re Sure To Find The Quote That Says What It Is, The Way It Is. And If These Mugs Bring On The Smiles, Don'T Forget To Share Them. Mugs Like These Make Great Gifts! Each Mug Is Beautifully Designed With Quality Ink And Attractive Graphics, Perfect For All Around Enjoyment."""" """"Express Yourself! Our Distinctive Coffee Mugs Give You The Freedom To Broadcast Your Own Special Message, From Holiday Cheer To Your Love Of Cupcakes. These Affordable Mugs Are Also Perfect For Gifting, So You Can Show Others Just How Well You Know Them. Break Out The Mugs, And Bring On The Laughs! Happy Sipping! """"Get Talking With Your Coffee! Our Wide Selection Of Cute And Catchy Designs Means You'Re Sure To Find The Quote That Says What It Is, The Way It Is. And If These Mugs Bring On The Smiles, Don'T Forget To Share Them. Mugs Like These Make Great Gifts! Each Mug Is Beautifully Designed With Quality Ink And Attractive Graphics, Perfect For All Around Enjoyment."""" """"Express Yourself! Our Distinctive Coffee Mugs Give You The Freedom To Broadcast Your Own Special Message, From Holiday Cheer To Your Love Of Cupcakes. These Affordable Mugs Are Also Perfect For Gifting, So You Can Show Others Just How Well You Know Them. Break Out The Mugs, And Bring On The Laughs! Happy Sipping!",http://img6a.flixcart.com/image/mug/r/6/p/1-prithish-believe-in-yourself-double-color-1100x1100-imaecgq3naxu4grq.jpeg|http://img6a.flixcart.com/image/mug/r/6/p/1-prithish-believe-in-yourself-double-color-original-imaecgq3naxu4grq.jpeg|http://img6a.flixcart.com/image/mug/r/6/p/1-prithish-believe-in-yourself-double-color-original-imaecgq3guygfyfr.jpeg
BrandTrendz Wheel Pizza Cutter,BrandTrendz,Kitchen Tools,319.00,999.00,48,Buy BrandTrendz Wheel Pizza Cutter for Rs.319 online. BrandTrendz Wheel Pizza Cutter at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,http://img6a.flixcart.com/image/pizza-cutter/h/h/y/s16-brandtrendz-1100x1100-imaebcqucm9g5zmj.jpeg|http://img6a.flixcart.com/image/pizza-cutter/h/h/y/s16-brandtrendz-original-imaebcqucm9g5zmj.jpeg
3a AUTOCARE Car Mat Mahindra XUV 500,3a AUTOCARE,Accessories & Spare parts,2750.00,3500.00,24,Buy 3a AUTOCARE Car Mat Mahindra XUV 500 for Rs.2750 online. 3a AUTOCARE Car Mat Mahindra XUV 500 at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,http://img5a.flixcart.com/image/car-mat/g/9/p/3a114-1-verna-3a-autocare-verna-1100x1100-imae9zygzqpjhhgx.jpeg|http://img5a.flixcart.com/image/car-mat/g/9/p/3a114-1-verna-3a-autocare-verna-original-imae9zygzqpjhhgx.jpeg|http://img6a.flixcart.com/image/car-mat/q/t/w/3a130-vento-3a-autocare-vento-original-imae9zygyuzzjz33.jpeg|http://img5a.flixcart.com/image/car-mat/g/4/d/3a117-1-mobilio-3a-autocare-mobilio-original-imae9zyghuyayb2m.jpeg|http://img5a.flixcart.com/image/car-mat/q/t/w/3a130-vento-3a-autocare-vento-original-imae9zygjzzrj4rr.jpeg|http://img6a.flixcart.com/image/car-mat/g/4/d/3a117-1-mobilio-3a-autocare-mobilio-original-imae9zyggpfzadfh.jpeg|http://img5a.flixcart.com/image/car-mat/q/t/w/3a130-vento-3a-autocare-vento-original-imae9zygsgndh4qb.jpeg|http://img5a.flixcart.com/image/car-mat/q/t/w/3a130-vento-3a-autocare-vento-original-imae9zygmz9wwpsf.jpeg|http://img6a.flixcart.com/image/car-mat/g/4/d/3a117-1-mobilio-3a-autocare-mobilio-original-imae9zyghhfcbfsf.jpeg|http://img5a.flixcart.com/image/car-mat/g/9/p/3a114-1-verna-3a-autocare-verna-original-imae9zyggxgrjukw.jpeg|http://img6a.flixcart.com/image/car-mat/q/t/w/3a130-vento-3a-autocare-vento-original-imae9zygzzxww6ya.jpeg
Okane Printed Men's Round Neck T-Shirt,SwiftBrand,Men's Clothing,699.00,699.00,62,Okane Printed Men's Round Neck T-Shirt - Buy Red Okane Printed Men's Round Neck T-Shirt For Only Rs. 699 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,http://img6a.flixcart.com/image/t-shirt/t/x/m/ts-45327-red-okane-m-original-imae9cave8tmgest.jpeg|http://img5a.flixcart.com/image/t-shirt/t/x/m/ts-45327-red-okane-m-original-imae9cave8tmgest.jpeg|http://img5a.flixcart.com/image/t-shirt/t/x/m/ts-45327-red-okane-m-original-imae9cautq3mgzau.jpeg|http://img6a.flixcart.com/image/t-shirt/t/x/m/ts-45327-red-okane-m-original-imae9cau3hhgezz4.jpeg|http://img5a.flixcart.com/image/t-shirt/t/x/m/ts-45327-red-okane-m-original-imae9caukjp94gng.jpeg|http://img6a.flixcart.com/image/t-shirt/t/x/m/ts-45327-red-okane-m-original-imae9caujjgsftvy.jpeg
Indi Bargain Women's A-line Dress,SwiftBrand,Women's Clothing,699.00,1799.00,17,Indi Bargain Women's A-line Dress - Buy Blue & Green Indi Bargain Women's A-line Dress For Only Rs. 1799 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,http://img5a.flixcart.com/image/dress/g/d/z/1-1-115green-indi-bargain-free-original-imae8uba37mvfxgn.jpeg|http://img5a.flixcart.com/image/dress/g/d/z/1-1-115green-indi-bargain-free-original-imae8uba6xfhnng7.jpeg|http://img6a.flixcart.com/image/dress/g/d/z/1-1-115green-indi-bargain-free-original-imae8ubayge7gv8g.jpeg|http://img6a.flixcart.com/image/dress/g/d/z/1-1-115green-indi-bargain-free-original-imae8ubazeemyfeh.jpeg|http://img6a.flixcart.com/image/dress/g/d/z/1-1-115green-indi-bargain-free-original-imae8ubanscyy2mn.jpeg
Tia by Ten on Ten Perla Women's T-Shirt Bra,Black,Women's Clothing,399.00,999.00,29,Tia by Ten on Ten Perla Women's T-Shirt Bra - Buy Black Tia by Ten on Ten Perla Women's T-Shirt Bra For Only Rs. 999 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,http://img5a.flixcart.com/image/bra/h/m/h/utbra-48-blk-tia-by-ten-on-ten-36a-original-imaeb2fwzgefvhzc.jpeg|http://img5a.flixcart.com/image/bra/h/m/h/utbra-48-blk-tia-by-ten-on-ten-36a-original-imaeb2fwsezuxedf.jpeg|http://img5a.flixcart.com/image/bra/h/m/h/utbra-48-blk-tia-by-ten-on-ten-34a-original-imaeb2fwchdwvrtj.jpeg
"Femninora Women's Solid Casual, Formal Shirt",Regular,Women's Clothing,404.00,799.00,63,"Femninora Women's Solid Casual, Formal Shirt                          Price: Rs. 404 				 			Caper Color Formal/Casual Shirt Can Be Wear With Trousers, Jeans Or Jeggings Caper Color Formal/Casual Shirt Can Be Wear With Trousers, Jeans Or Jeggings",http://img6a.flixcart.com/image/shirt/d/m/t/fem-tp-47-femninora-l-original-imae93c2yusfudnf.jpeg|http://img5a.flixcart.com/image/shirt/s/n/m/fem-tp-47-femninora-xl-original-imae93c3khkgk5hj.jpeg|http://img5a.flixcart.com/image/shirt/d/m/t/fem-tp-47-femninora-l-original-imae93c398rugvkn.jpeg|http://img6a.flixcart.com/image/shirt/s/n/m/fem-tp-47-femninora-xl-original-imae93c2fxvw6pyu.jpeg|http://img6a.flixcart.com/image/shirt/d/m/t/fem-tp-47-femninora-l-original-imae93c3ep68mfum.jpeg
Dressberry Women's Solid Casual Shirt,SwiftBrand,Women's Clothing,499.00,999.00,23,Dressberry Women's Solid Casual Shirt - Buy NAVY Dressberry Women's Solid Casual Shirt For Only Rs. 999 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,http://img5a.flixcart.com/image/shirt/u/g/v/364243-dressberry-l-original-imae568a4tq8uctj.jpeg|http://img6a.flixcart.com/image/shirt/u/g/v/364243-dressberry-l-original-imae568agbtwzyvb.jpeg|http://img6a.flixcart.com/image/shirt/u/g/v/364243-dressberry-l-original-imae568adsxvhsxv.jpeg|http://img6a.flixcart.com/image/shirt/u/g/v/364243-dressberry-l-original-imae568aqgd6w4uu.jpeg|http://img6a.flixcart.com/image/shirt/u/g/v/364243-dressberry-l-original-imae568as3bkhaaj.jpeg
Kyma Women's Empire Waist Dress,SwiftBrand,Women's Clothing,799.00,2800.00,19,Kyma Women's Empire Waist Dress - Buy Pink Kyma Women's Empire Waist Dress For Only Rs. 2800 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,http://img6a.flixcart.com/image/dress/e/6/m/sdk005-kyma-m-original-imae3xzsnfqdqnsb.jpeg|http://img5a.flixcart.com/image/dress/e/6/m/sdk005-kyma-m-original-imae3xzsnfqdqnsb.jpeg|http://img6a.flixcart.com/image/dress/e/6/m/sdk005-kyma-3xl-original-imae3xzrkvevqzqw.jpeg|http://img6a.flixcart.com/image/dress/e/6/m/sdk005-kyma-l-original-imae3z4h4ewfvgeg.jpeg
Regent Analog 31 cm Dia Wall Clock,SwiftBrand,Wall Decor & Clocks,749.00,1599.00,51,"Regent Analog 31 cm Dia Wall Clock (Black, With Glass)                          Price: Rs. 749 				 			High Quality ABS with Glass Pane and Quartz Machine. High Quality ABS with Glass Pane and Quartz Machine.",http://img5a.flixcart.com/image/wall-clock/x/y/5/mgn9830-mgn-analog-abstract-squre-background-1100x1100-imae228wn6bwuch6.jpeg|http://img6a.flixcart.com/image/wall-clock/x/y/5/mgn9830-mgn-analog-abstract-squre-background-original-imae228wn6bwuch6.jpeg
Shahi Handicraft Plastic Chudas,Shahi Handicraft,"Bangles, Bracelets & Armlets",3400.00,5000.00,67,Shahi Handicraft Plastic Chudas - Buy Shahi Handicraft Plastic Chudas only for Rs. 3400 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,http://img5a.flixcart.com/image/bangle-bracelet-armlet/z/n/u/502-m1c1-ml364-r-2-6-shahi-handicraft-51-1100x1100-imae7srvguarxkta.jpeg|http://img5a.flixcart.com/image/bangle-bracelet-armlet/z/n/u/502-m1c1-ml364-r-2-6-shahi-handicraft-51-original-imae7srvguarxkta.jpeg
Green Girgit Plant Container Set,Green Girgit,Tools,600.00,750.00,18,Buy Green Girgit Plant Container Set for Rs.600 online. Green Girgit Plant Container Set at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,http://img5a.flixcart.com/image/plant-container-set/t/h/m/gg-oly-green-girgit-1100x1100-imaeak9u6yxxdvaw.jpeg|http://img5a.flixcart.com/image/plant-container-set/t/h/m/gg-oly-green-girgit-original-imaeak9u6yxxdvaw.jpeg|http://img6a.flixcart.com/image/plant-container-set/t/h/m/gg-oly-green-girgit-original-imaeak9ugzngkmtr.jpeg|http://img6a.flixcart.com/image/plant-container-set/t/h/m/gg-oly-green-girgit-original-imaeak9uqtwnvmyy.jpeg|http://img6a.flixcart.com/image/plant-container-set/t/h/m/gg-oly-green-girgit-original-imaeak9uhc3gfn5f.jpeg
Urban Style Abstract Double Quilts & Comforters Multicolor,Urban Style,Bed Linen,749.00,1999.00,70,Buy Urban Style Abstract Double Quilts & Comforters Multicolor at Rs. 749 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,http://img6a.flixcart.com/image/blanket/t/8/b/sandlo-179-urban-style-satin-hand-gold-printed-double-bed-original-imaeaxh5zkyppxyk.jpeg|http://img6a.flixcart.com/image/blanket/t/8/b/sandlo-179-urban-style-satin-hand-gold-printed-double-bed-original-imaeaxh5zzqs9fn2.jpeg
Nishtaa Yellow Gold 22 K Ring,Nishtaa,Rings,7781.00,8190.00,76,Nishtaa Yellow Gold 22 K Ring - Buy Nishtaa Yellow Gold 22 K Ring only for Rs. 7781 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,http://img6a.flixcart.com/image/ring/d/9/p/nlr00331-10-nishtaa-ring-1100x1100-imadwhgwsh5msqua.jpeg|http://img5a.flixcart.com/image/ring/d/9/p/nlr00331-10-nishtaa-ring-original-imadwhgwsh5msqua.jpeg
3a Autocare XUV 500 Car Mat Mahindra XUV 500,3a Autocare,Accessories & Spare parts,2250.00,3200.00,74,"3a Autocare XUV 500 Car Mat Mahindra XUV 500 (Beige)                          Price: Rs. 2,250 				 			Every car owner wishes to flaunt his car and cleanliness of the interior. Floor mats are an essential accessory in the car. 3a AUTOCARE presents the best 3 dimensional car floor mats for your car that ensure it is spic and span always. 3a AUTOCARE 3d car mats are produced using material of the finest quality and are odourless. They also come with the desirable qualities of anti-skid and anti-bunch and are designed specifically to fit your car. Added attraction includes metal pad on the driver mat. Every car owner wishes to flaunt his car and cleanliness of the interior. Floor mats are an essential accessory in the car. 3a AUTOCARE presents the best 3 dimensional car floor mats for your car that ensure it is spic and span always. 3a AUTOCARE 3d car mats are produced using material of the finest quality and are odourless. They also come with the desirable qualities of anti-skid and anti-bunch and are designed specifically to fit your car. Added attraction includes metal pad on the driver mat.",http://img5a.flixcart.com/image/car-mat/g/9/p/3a114-1-verna-3a-autocare-verna-1100x1100-imae9zygzqpjhhgx.jpeg|http://img5a.flixcart.com/image/car-mat/g/9/p/3a114-1-verna-3a-autocare-verna-original-imae9zygzqpjhhgx.jpeg|http://img5a.flixcart.com/image/car-mat/g/4/d/3a117-1-mobilio-3a-autocare-mobilio-original-imae9zyghuyayb2m.jpeg|http://img6a.flixcart.com/image/car-mat/g/4/d/3a117-1-mobilio-3a-autocare-mobilio-original-imae9zyggpfzadfh.jpeg|http://img6a.flixcart.com/image/car-mat/g/4/d/3a117-1-mobilio-3a-autocare-mobilio-original-imae9zyghhfcbfsf.jpeg|http://img5a.flixcart.com/image/car-mat/g/9/p/3a114-1-verna-3a-autocare-verna-original-imae9zyggxgrjukw.jpeg
Noise Men's Printed Bandana,Noise,Men's Clothing,299.00,999.00,25,"Key Features of Noise Men's Printed Bandana 100%Polyester Microfiber UV Protection Moisture Management Seamless Tube 13 in 1 Multifunctional Stretchable Wearable in all seasons,Noise Men's Printed Bandana (Pack of 2) Price: Rs. 299 Noise Headwrap Combo of 2 Bandana - Each head wrap can be worn in 13 different styles like bandana, headband, wristband, cap, pirate cap, bavalanch, alice band and more (please refer to the collage for different ways and styles of wearing the head wraps). Apart from the styling, these head wraps protect you from dirt, dust and sunlight. These head wraps are made of seamless micro-fibre that absorbs sweat in summers and protects you in winters. Noise is a youth-centric unisex brand for adventure and sports. Their revolutionary head wraps are funky, sporty and yet a very useful fashion accessory for all age groups.,Related video of Noise Men's Printed Bandana,Specifications of Noise Men's Printed Bandana (Pack of 2) In The Box 2 Bandana General Details Age Group NA - NA month Pattern Printed Ideal For Men's Bandana Details Number of Contents in Sales Package Pack of 2 Fabric Polyester",http://img6a.flixcart.com/image/bandana/c/v/e/na-na-noihwpcmb112-noise-free-1000x1000-imaejg9fgkffqzfe.jpeg|http://img5a.flixcart.com/image/bandana/c/v/e/na-na-noihwpcmb112-noise-free-original-imaejg9fgkffqzfe.jpeg
First Smart Deal Plant Container Set,First Smart Deal,Tools,309.00,499.00,79,Buy First Smart Deal Plant Container Set for Rs.309 online. First Smart Deal Plant Container Set at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,http://img6a.flixcart.com/image/plant-container-set/c/s/g/fsd163-first-smart-deal-1100x1100-imaean9uezzehg7g.jpeg|http://img5a.flixcart.com/image/plant-container-set/c/s/g/fsd163-first-smart-deal-original-imaean9uezzehg7g.jpeg|http://img5a.flixcart.com/image/plant-container-set/c/s/g/fsd163-first-smart-deal-original-imaean9u5kfpjg9j.jpeg
Divine Gifts & Artificial Jewellery Shanker Blue Showpiece  -  7.5 cm,Divine Gifts & Artificial Jewellery,Table Decor & Handicrafts,320.00,350.00,26,Buy Divine Gifts & Artificial Jewellery Shanker Blue Showpiece  -  7.5 cm for Rs.320 online. Divine Gifts & Artificial Jewellery Shanker Blue Showpiece  -  7.5 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,http://img5a.flixcart.com/image/showpiece-figurine/r/3/q/shanker-blue-divine-gifts-artificial-jewellery-original-imaea2xezgtbxagg.jpeg|http://img6a.flixcart.com/image/showpiece-figurine/r/3/q/shanker-blue-divine-gifts-artificial-jewellery-original-imaea2xezgtbxagg.jpeg
Printland PMBA1907 Ceramic Mug,SwiftBrand,Coffee Mugs,299.00,650.00,53,Printland PMBA1907 Ceramic Mug (350 ml)                          Price: Rs. 299 				 			Printland coffee mug is an adorable and a fantastic coffee mug. One can enjoy their morning coffee/tea in this huge mug. It is made of ceramic material. It is a perfect add on to your kitchen wardrobe. It looks very stylish & elegant to serve tea/coffee in this mug during a casual get together at home. It is also a perfect gift to be presented to your loved one. Printland coffee mug is an adorable and a fantastic coffee mug. One can enjoy their morning coffee/tea in this huge mug. It is made of ceramic material. It is a perfect add on to your kitchen wardrobe. It looks very stylish & elegant to serve tea/coffee in this mug during a casual get together at home. It is also a perfect gift to be presented to your loved one.,http://img5a.flixcart.com/image/mug/k/y/4/1-printland-pmba1907-1100x1100-imaebyf4qpgnejzh.jpeg|http://img6a.flixcart.com/image/mug/k/y/4/1-printland-pmba1907-original-imaebyf4qpgnejzh.jpeg
"Yutak Solid, Embellished Women's V-neck T-Shirt",SwiftBrand,Women's Clothing,259.00,660.00,46,"Yutak Solid, Embellished Women's V-neck T-Shirt                          Price: Rs. 259 				 			Carry a strong fashion statement with this elegant Embellished V-Neck Tee. Made from 100% soft processed cotton, this tee feels as good as it looks. Carry a strong fashion statement with this elegant Embellished V-Neck Tee. Made from 100% soft processed cotton, this tee feels as good as it looks.",http://img5a.flixcart.com/image/t-shirt/b/t/v/w-tshirt-v109-yutak-33-original-imae8c8uwebh26g5.jpeg|http://img6a.flixcart.com/image/t-shirt/b/t/v/w-tshirt-v109-yutak-33-original-imae8c8uwebh26g5.jpeg|http://img5a.flixcart.com/image/t-shirt/b/t/v/w-tshirt-v109-yutak-36-original-imae8c8uyfgeacuz.jpeg|http://img6a.flixcart.com/image/t-shirt/b/t/v/w-tshirt-v109-yutak-33-original-imae8c8uwsbrfx2j.jpeg
Nod'R Solid Men's Round Neck T-Shirt,SwiftBrand,Men's Clothing,399.00,599.00,36,Nod'R Solid Men's Round Neck T-Shirt                          Price: Rs. 399 				 			Nod'R Tees Are Made With Cutting Edge Tech. To Fight Odor Producing Bacteria To Make You Feel Fresh 24x7 .100% Cotton And Wicking Adds To The Comfort For Everday Wear Nod'R Tees Are Made With Cutting Edge Tech. To Fight Odor Producing Bacteria To Make You Feel Fresh 24x7 .100% Cotton And Wicking Adds To The Comfort For Everday Wear,http://img5a.flixcart.com/image/t-shirt/d/4/d/rnt01-blu-nod-r-m-original-imaecx6kcbb7dndy.jpeg|http://img6a.flixcart.com/image/t-shirt/d/4/d/rnt01-blu-nod-r-m-original-imaecx6kcbb7dndy.jpeg|http://img6a.flixcart.com/image/t-shirt/h/x/k/rnt01-p2-blu-blu-nod-r-l-original-imaecx6kuqrjmuvk.jpeg|http://img6a.flixcart.com/image/t-shirt/x/e/4/rnt01-p2-wht-blu-nod-r-m-original-imaecx6k6jkg3tqv.jpeg
Shoppingtara Kundan Meenakari Marble Mobile Stand With Clock Showpiece  -  8 cm,Shoppingtara,Showpieces,449.00,980.00,28,"Shoppingtara Kundan Meenakari Marble Mobile Stand With Clock Showpiece  -  8 cm (Stoneware, Multicolor)                          Price: Rs. 449 				 			The Item Being Handmade; The Fine Design, Pattern And Color Tone Of The Product May Vary Slightly From That Shown In The Image. The Item Being Handmade; The Fine Design, Pattern And Color Tone Of The Product May Vary Slightly From That Shown In The Image.",http://img6a.flixcart.com/image/showpiece-figurine/f/9/d/ct-9625-07-shoppingtara-1100x1100-imae77vjyw5zaz8b.jpeg|http://img6a.flixcart.com/image/showpiece-figurine/f/9/d/ct-9625-07-shoppingtara-original-imae77vjyw5zaz8b.jpeg
Timebre TMLXPRL53 Premium Analog Watch  - For Women,SwiftBrand,Wrist Watches,340.00,599.00,76,"Timebre TMLXPRL53 Premium Analog Watch  - For Women                          Price: Rs. 340 				 			Brand: Timebre, Stylish Watch For Women, 1 Year Manufacturer'S Warranty, Japaneses Quartz Movement, Strap Material: Quality Leather , Analog Display. Brand: Timebre, Stylish Watch For Women, 1 Year Manufacturer'S Warranty, Japaneses Quartz Movement, Strap Material: Quality Leather , Analog Display.",http://img5a.flixcart.com/image/watch/b/e/m/tmlxprl53-timebre-original-imae9pyj4dtbhh57.jpeg|http://img5a.flixcart.com/image/watch/b/e/m/tmlxprl53-timebre-original-imae9pykrwctrwyh.jpeg|http://img5a.flixcart.com/image/watch/b/e/m/tmlxprl53-timebre-original-imae9pykyyazptjv.jpeg
"Alfajr WY16B Youth Digital Watch  - For Men, Boys",SwiftBrand,Wrist Watches,4995.00,5495.00,60,"Alfajr WY16B Youth Digital Watch  - For Men, Boys - Buy Alfajr WY16B Youth Digital Watch  - For Men, Boys  WY16B Online at Rs.4995 in India Only at Flipkart.com. Azan Times ( For All Cities Around The World ), Prayer Reminders, Qibla Direction, Hijri And Gregorian Calnedars, Qur'An Bookmark, Daily Alrams - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",http://img5a.flixcart.com/image/watch/e/j/g/wy16b-alfajr-original-imaecgzzfywury4r.jpeg|http://img6a.flixcart.com/image/watch/e/j/g/wy16b-alfajr-original-imaecgzzfywury4r.jpeg|http://img5a.flixcart.com/image/watch/e/j/g/wy16b-alfajr-original-imaecgzzxvz5ugyb.jpeg|http://img6a.flixcart.com/image/watch/e/j/g/wy16b-alfajr-original-imaecgzzvqcuz4g4.jpeg|http://img5a.flixcart.com/image/watch/e/j/g/wy16b-alfajr-original-imaecgzzzezdtfyj.jpeg
Sonata 87009SM02 Watch,SwiftBrand,Wrist Watches,1099.00,1099.00,41,"Sonata 87009SM02 Watch - Buy Sonata 87009SM02 Watch  87009SM02 Online at Rs.1099 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",http://img6a.flixcart.com/image/watch/p/v/g/87009sm02-sonata-original-imaeb8ehaukpyytc.jpeg|http://img5a.flixcart.com/image/watch/p/v/g/87009sm02-sonata-original-imaeb8ehaukpyytc.jpeg
Kanabis Women Wedges,SwiftBrand,Women's Footwear,3200.00,3200.00,36,Flipkart.com: Buy Kanabis Women Wedges only for Rs. 3200 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,http://img5a.flixcart.com/image/sandal/m/e/b/white-55281-kanabis-41-original-imaedhpzjrhqqdwq.jpeg|http://img6a.flixcart.com/image/sandal/m/e/b/white-55281-kanabis-41-original-imaedhpzjrhqqdwq.jpeg|http://img5a.flixcart.com/image/sandal/m/e/b/white-55281-kanabis-39-original-imaedhpzk5uhqkku.jpeg|http://img5a.flixcart.com/image/sandal/m/e/b/white-55281-kanabis-41-original-imaedhpzr3teyybg.jpeg|http://img6a.flixcart.com/image/sandal/m/e/b/white-55281-kanabis-37-original-imaedhpzp8ez62ba.jpeg|http://img5a.flixcart.com/image/sandal/m/e/b/white-55281-kanabis-39-original-imaednyrbbzt6j9n.jpeg
Nivea Fresh Natural Deo Combo Combo Set,SwiftBrand,Fragrances,525.00,525.00,23,Flipkart.com: Buy Nivea Fresh Natural Deo Combo Combo Set online only for Rs. 350 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,http://img6a.flixcart.com/image/combo-gift-set/z/m/y/nivea-original-imadyz3wzht3gzhn.jpeg
